sample,hrs_after_DLMO25
GSM969175,1.2
GSM969176,4.2
GSM969177,7.2
GSM969178,10.2
GSM969179,13.2
GSM969180,16.2
GSM969181,19.2
GSM969182,13.66666667
GSM969183,16.66666667
GSM969184,19.66666667
GSM969185,22.66666667
GSM969186,1.666666667
GSM969187,4.666666667
GSM969188,7.666666667
GSM969189,10.66666667
GSM969190,13.66666667
GSM969191,16.66666667
GSM969192,17.16666667
GSM969193,20.18333333
GSM969194,23.16666667
GSM969195,2.166666667
GSM969196,5.166666667
GSM969197,8.166666667
GSM969198,11.16666667
GSM969199,14.16666667
GSM969200,17.16666667
GSM969201,20.18333333
GSM969202,14.78333333
GSM969203,17.78333333
GSM969204,20.78333333
GSM969205,23.78333333
GSM969206,2.783333333
GSM969207,5.783333333
GSM969208,8.783333333
GSM969209,11.78333333
GSM969210,14.78333333
GSM969211,17.78333333
GSM969222,16.3
GSM969223,19.23333333
GSM969224,22.23333333
GSM969225,1.233333333
GSM969226,4.233333333
GSM969227,7.233333333
GSM969228,10.23333333
GSM969229,13.23333333
GSM969230,16.23333333
GSM969231,19.9
GSM969232,13.75
GSM969233,16.71666667
GSM969234,19.73333333
GSM969235,22.75
GSM969236,7.75
GSM969237,10.78333333
GSM969238,13.75
GSM969239,16.75
GSM969240,17.93333333
GSM969241,20.96666667
GSM969242,23.91666667
GSM969243,2.9
GSM969244,5.9
GSM969245,8.9
GSM969246,11.9
GSM969247,14.9
GSM969248,17.9
GSM969249,20.9
GSM969250,16.55
GSM969251,19.58333333
GSM969252,22.56666667
GSM969253,1.55
GSM969254,4.55
GSM969255,7.55
GSM969256,10.55
GSM969257,13.55
GSM969258,16.55
GSM969259,19.58333333
